HORA,IDADE,SEXO,TIPO,ARMA,CIDADE
4,24,MASCULINO,HOMICíDIO DOLOSO,PAF/B,PALMEIRA DOS ÍNDIOS
5,22,MASCULINO,HOMICíDIO DOLOSO,BRANCA,CAMPESTRE
12,17,MASCULINO,HOMICíDIO DOLOSO,PAF,MACEIÓ
16,35,MASCULINO,HOMICíDIO DOLOSO,PAF,MACEIÓ
17,33,MASCULINO,HOMICíDIO DOLOSO,PAF,PENEDO
18,45,MASCULINO,HOMICíDIO DOLOSO,PAF,LIMOEIRO DE ANADIA
18,43,MASCULINO,HOMICíDIO DOLOSO,PAF,SÃO LUÍS DO QUITUNDE
20,19,MASCULINO,HOMICíDIO DOLOSO,PAF,RIO LARGO
5,19,FEMININO,FEMINICÍDIO,PAF,ARAPIRACA
5,32,MASCULINO,HOMICÍDIO DOLOSO,BRANCA,PAULO JACINTO
11,29,MASCULINO,HOMICÍDIO DOLOSO,ASFIXIA MECÂNICA,MACEIÓ
17,34,MASCULINO,RESISTÊNCIA COM RESULTADO MORTE,PAF,MACEIÓ
20,30,MASCULINO,HOMICÍDIO DOLOSO,PAF,JUNQUEIRO
23,27,MASCULINO,RESISTÊNCIA COM RESULTADO MORTE,PAF,PILAR
2,16,MASCULINO,HOMICÍDIO DOLOSO,BRANCA,MAJOR ISIDORO
13,22,MASCULINO,HOMICÍDIO DOLOSO,ASFIXIA MECÂNICA,MACEIÓ
21,29,MASCULINO,HOMICÍDIO DOLOSO,PAF,MACEIÓ
22,44,MASCULINO,HOMICÍDIO DOLOSO,BRANCA,SÃO SEBASTIÃO
18,17,MASCULINO,HOMICÍDIO DOLOSO,LINCHAMENTO,MACEIÓ
19,18,MASCULINO,HOMICÍDIO DOLOSO,PAF,PALMEIRA DOS ÍNDIOS
15,23,MASCULINO,HOMICÍDIO DOLOSO,PAF,MACEIÓ
16,21,MASCULINO,HOMICÍDIO DOLOSO,PAF,MACEIÓ
16,13,MASCULINO,HOMICÍDIO DOLOSO,PAF,PORTO CALVO
19,28,MASCULINO,HOMICÍDIO DOLOSO,PAF,PALMEIRA DOS ÍNDIOS
2,41,MASCULINO,HOMICÍDIO DOLOSO,BRANCA,CANAPI
5,18,MASCULINO,HOMICÍDIO DOLOSO,PAF,RIO LARGO
5,34,MASCULINO,HOMICÍDIO DOLOSO,BRANCA,VIÇOSA
12,35,FEMININO,HOMICÍDIO DOLOSO,PAF,RIO LARGO
12,46,MASCULINO,HOMICÍDIO DOLOSO,BRANCA,QUEBRANGULO
19,49,MASCULINO,HOMICÍDIO DOLOSO,BRANCA,OLHO D ÁGUA DO CASADO
20,18,MASCULINO,HOMICíDIO DOLOSO,PAF,ATALAIA
21,21,MASCULINO,HOMICíDIO DOLOSO,PAF,RIO LARGO
21,39,MASCULINO,HOMICíDIO DOLOSO,PAF,LAGOA DA CANOA
2,29,MASCULINO,HOMICíDIO DOLOSO,BRANCA,RIO LARGO
16,31,MASCULINO,HOMICíDIO DOLOSO,PAF,MACEIÓ
17,62,MASCULINO,HOMICíDIO DOLOSO,PAF,JUNQUEIRO
20,21,MASCULINO,HOMICíDIO DOLOSO,BRANCA,CORURIPE
22,30,MASCULINO,HOMICíDIO DOLOSO,BRANCA,FELIZ DESERTO
0,30,MASCULINO,HOMICíDIO DOLOSO,PAF,SÃO LUÍS DO QUITUNDE
3,25,MASCULINO,HOMICíDIO DOLOSO,PAF,MARAGOGI
4,25,MASCULINO,HOMICíDIO DOLOSO,ESPANCADO,MACEIÓ
11,36,MASCULINO,HOMICíDIO DOLOSO,PAF,MACEIÓ
11,19,MASCULINO,HOMICíDIO DOLOSO,PAF/B,IGACI
15,32,MASCULINO,HOMICíDIO DOLOSO,PAF/B,ATALAIA
